"time","seconds_elapsed","rotationRateX","rotationRateY","rotationRateZ","gravityX","gravityY","gravityZ","accelerationX","accelerationY","accelerationZ","quaternionW","quaternionX","quaternionY","quaternionZ","label"
"1.71E+18","5.448041504","-4.006471634","-2.829252481","-5.295572758","-0.519546628","0.851527452","0.070518337","-0.408981323","0.299183786","0.780525446","0.173979503","-0.527826049","0.50661507","-0.65914507","D"
"1.71E+18","5.458061768","-2.959000826","-2.825499296","-5.275908947","-0.561172545","0.819683492","0.114911504","-0.403213501","0.735400796","0.851183534","0.154485588","-0.553320878","0.501290096","-0.647053757","D"
"1.71E+18","5.468081543","-1.996702433","-2.984098196","-5.363618851","-0.600095987","0.785430491","0.151605234","-0.464647174","0.927216172","0.841436863","0.13759566","-0.577673628","0.492032313","-0.636604276","D"
"1.71E+18","5.478101563","-1.785883904","-3.27213645","-5.371516228","-0.63616842","0.749011278","0.185126603","-0.523209691","0.550762892","0.934578657","0.122722778","-0.601830969","0.479961234","-0.626399098","D"
"1.71E+18","5.488121826","-1.949181318","-3.521434069","-5.289460182","-0.668150187","0.710442722","0.221012339","-0.577012777","0.167425931","1.138286471","0.108544595","-0.62613093","0.467403706","-0.614582714","D"
"1.71E+18","5.498141846","-1.703143001","-3.715909004","-5.485305786","-0.696666539","0.669125855","0.258701444","-0.799930751","0.139620543","1.124095917","0.094503322","-0.650521908","0.45406163","-0.60143033","D"
"1.71E+18","5.508161621","-1.20847261","-4.074000835","-5.483946323","-0.721474826","0.62606734","0.295828223","-1.12331295","0.195481241","1.12221694","0.08204629","-0.675054579","0.438423792","-0.587668727","N"
"1.71E+18","5.518181641","-0.40902862","-4.318043709","-5.584987164","-0.741735935","0.582829833","0.331869811","-1.287850976","0.260279357","1.043282866","0.072012299","-0.699476761","0.42031794","-0.573480124","N"
"1.71E+18","5.528201904","1.28660202","-4.717758179","-5.661411285","-0.757706285","0.541941822","0.363566607","-1.352843761","0.500645518","0.897343516","0.066695569","-0.723680478","0.397580022","-0.560150462","N"
"1.71E+18","5.53822168","3.157101393","-5.16007185","-5.593539715","-0.768642485","0.507279694","0.389687657","-1.276187897","0.602690458","0.835989952","0.068828428","-0.747505341","0.368889669","-0.548104897","N"
"1.71E+18","5.548241455","4.818649292","-5.522951126","-5.373028278","-0.774330556","0.480862349","0.411319435","-1.159400463","0.743670702","0.739635885","0.078507714","-0.77024508","0.335234602","-0.536821044","D"
"1.71E+18","5.558261719","5.968800545","-5.856926918","-5.034772396","-0.774949312","0.463339299","0.429849297","-1.113997221","0.802255154","0.640356481","0.094984369","-0.791324688","0.297875617","-0.525407817","D"
"1.71E+18","5.568281494","6.535754681","-6.050753593","-4.474287033","-0.770633221","0.453951865","0.447271913","-1.092175007","0.644574165","0.684075773","0.116051553","-0.810184292","0.259301707","-0.512733942","D"
"1.71E+18","5.578301514","7.04304266","-6.174676895","-3.780834675","-0.761419773","0.453172445","0.463546306","-1.087289572","0.631986976","0.75259465","0.14074063","-0.826322456","0.221278907","-0.498416584","D"
"1.71E+18","5.588321777","7.721574783","-6.327876091","-2.890094757","-0.747217953","0.462525338","0.477216601","-1.092427492","0.830000877","0.676347852","0.169567473","-0.839414651","0.184367432","-0.482326222","D"
"1.71E+18","5.598341797","8.573153496","-6.386855125","-1.71661818","-0.727379918","0.484884411","0.485598266","-1.092062831","1.030557394","0.42750302","0.203934462","-0.848823288","0.149325679","-0.464340003","D"
"1.71E+18","5.608361572","9.37938118","-6.461075306","-0.527183235","-0.7017138","0.520445287","0.486553937","-1.069679022","1.226274014","0.324908584","0.24386905","-0.85417372","0.116894075","-0.444129498","D"
"1.71E+18","5.618381592","10.12020206","-6.607395649","0.956742883","-0.66895479","0.569097459","0.478150368","-1.062551618","1.375238419","0.298888296","0.28948248","-0.855191256","0.087881209","-0.420861946","D"
"1.71E+18","5.628401855","10.17968464","-6.750627995","2.458220243","-0.627092957","0.628275394","0.460461378","-1.070600033","1.395345211","0.297046006","0.33916685","-0.852146317","0.063854119","-0.393363986","D"
"1.71E+18","5.638421631","9.959944725","-6.553787708","3.610738516","-0.576641321","0.692074955","0.434185892","-1.231754065","1.333498836","0.29825139","0.38967903","-0.845581157","0.045666798","-0.362018551","D"
"1.71E+18","5.64844165","9.518238068","-6.249414444","4.351946354","-0.520937264","0.754543483","0.3991099","-1.528516531","1.178821325","0.311019033","0.438663577","-0.835765875","0.03240917","-0.328663046","D"
"1.71E+18","5.658461914","9.762178421","-6.043435574","5.151795387","-0.460236549","0.814216852","0.353882968","-1.596541405","1.199592352","0.472716272","0.486788662","-0.82244261","0.023013749","-0.293419995","D"
"1.71E+18","5.668481689","10.64979744","-5.806623459","5.713481426","-0.394923985","0.870613992","0.293371618","-1.481342554","1.425879717","0.639840841","0.536321119","-0.804008596","0.015999566","-0.256269516","D"
"1.71E+18","5.678501465","11.61068344","-5.493432522","6.278033733","-0.326638609","0.920696855","0.213599652","-1.508108735","1.632525921","0.733254075","0.58805456","-0.778901167","0.010620514","-0.217697389","D"
"1.71E+18","5.688521484","11.85246658","-4.998479843","6.888494968","-0.255736589","0.959537387","0.11784406","-1.586899519","1.396038294","0.953368783","0.639888012","-0.747568934","0.007919553","-0.177824307","D"
"1.71E+18","5.698541748","11.7930851","-4.328732491","7.343120098","-0.183136627","0.983001411","0.013013668","-1.664946914","1.128830314","1.143388987","0.688901872","-0.711634466","0.009122571","-0.1375044","D"
"1.71E+18","5.708561523","11.62187767","-3.684103251","7.777369499","-0.109951943","0.989175975","-0.097167261","-1.742022514","1.063359976","1.237105727","0.734248812","-0.671726926","0.014117637","-0.097274395","D"
"1.71E+18","5.718581543","11.36930847","-3.072026491","8.125470161","-0.036597665","0.977467716","-0.207888409","-1.721520066","0.986048579","1.320223689","0.775024784","-0.628913973","0.02286946","-0.057278472","D"
"1.71E+18","9.145418701","-4.859167576","-1.473489165","-2.818214417","0.472700685","-0.057440009","-0.879348993","-0.202436954","0.168142498","0.85128814","0.575948862","0.213720236","0.121033678","-0.77971623","D"
"1.71E+18","9.155438721","-5.220815659","-1.561701894","-2.990006685","0.460060656","0.000777763","-0.88788718","-0.219627857","0.201660559","0.810052097","0.570670098","0.191380719","0.139390947","-0.786307416","D"
"1.71E+18","9.165458496","-5.597294331","-1.638628602","-3.132973194","0.444787651","0.062977612","-0.893419147","-0.237100244","0.261363178","0.784135759","0.564617056","0.167367559","0.158992214","-0.792412296","D"
"1.71E+18","9.17547876","-5.874676704","-1.709174514","-3.251178741","0.426710993","0.128424972","-0.89522332","-0.222472042","0.301689744","0.704305351","0.557755793","0.141835372","0.179641498","-0.797822256","D"
"1.71E+18","9.185498779","-6.097309113","-1.761853695","-3.343329668","0.405814677","0.195789248","-0.892737985","-0.208137006","0.371990293","0.655463815","0.550045869","0.115137838","0.200933566","-0.802383176","D"
"1.71E+18","9.195518555","-6.32867527","-1.790077806","-3.467570782","0.382124186","0.264631242","-0.885410368","-0.205045879","0.424318373","0.647556365","0.541369013","0.087368937","0.222848586","-0.805993221","D"
"1.71E+18","9.205538574","-6.48949337","-1.836536646","-3.555250406","0.355584979","0.334186763","-0.872856557","-0.19706136","0.419231206","0.58879894","0.531625124","0.058657522","0.245216279","-0.808580899","D"
"1.71E+18","9.215558838","-6.621854305","-1.885227442","-3.62232542","0.326200306","0.403186589","-0.855005264","-0.186490774","0.356716394","0.517221451","0.520906586","0.02922449","0.267662663","-0.810036464","D"
"1.71E+18","9.225578613","-6.775134087","-1.940244079","-3.695722342","0.294028461","0.471204549","-0.83157295","-0.179968983","0.297853708","0.481215954","0.509200562","-0.000929096","0.29019417","-0.810247753","D"
"1.71E+18","9.235598633","-6.887469769","-2.019355774","-3.747049093","0.259005129","0.537450254","-0.802535713","-0.167376071","0.240839541","0.447967291","0.496522563","-0.03177783","0.312605684","-0.809155861","D"
"1.71E+18","9.245618896","-6.961848736","-2.101360321","-3.772470236","0.22132355","0.601083636","-0.76792866","-0.139154941","0.164648235","0.383117259","0.482997716","-0.06323346","0.334719584","-0.806645996","D"
"1.71E+18","9.255638672","-6.955000877","-2.220709801","-3.792672634","0.181185722","0.660945356","-0.728232801","-0.089663491","0.106861651","0.331885815","0.468715277","-0.095095206","0.356146746","-0.802759252","D"
"1.71E+18","9.265658447","-6.853431225","-2.368190765","-3.82801342","0.138685137","0.715981483","-0.684205353","-0.026731387","0.097022057","0.322083831","0.453798388","-0.127238421","0.376440853","-0.797602487","D"
"1.71E+18","9.275678711","-6.69849968","-2.603901386","-3.835921049","0.093802422","0.765356362","-0.636734545","0.025582373","0.118753195","0.335053086","0.438463691","-0.159682186","0.395138369","-0.791275597","D"
"1.71E+18","9.28569873","-6.612243652","-2.846126795","-3.879034042","0.046692833","0.808839381","-0.586173058","0.085936576","0.126082003","0.317420065","0.42290687","-0.192582349","0.412098895","-0.783732451","D"
"1.71E+18","9.295718506","-6.743480206","-3.052760839","-3.937330723","-0.002311809","0.846975803","-0.531626463","0.116539121","0.145761073","0.381800532","0.406893496","-0.226177869","0.427820442","-0.774758649","D"
"1.71E+18","9.305738525","-7.096381664","-3.129869223","-4.029946327","-0.052329149","0.88075155","-0.470678926","0.10843572","0.120301425","0.385672212","0.38984051","-0.260641945","0.443538409","-0.763782723","D"
"1.71E+18","9.315758789","-7.275971889","-3.243409395","-4.169349194","-0.103070073","0.909067035","-0.403700441","0.079113752","0.004186988","0.458296418","0.371466286","-0.295706797","0.459028611","-0.750908306","D"
"1.71E+18","9.325778564","-7.357823372","-3.301098108","-4.439798355","-0.154735208","0.930542767","-0.331884831","0.006862268","-0.030945361","0.492865115","0.351624258","-0.331222439","0.473655228","-0.73641229","D"
"1.71E+18","9.335798584","-7.03921032","-3.33131361","-4.718910217","-0.207612753","0.943594933","-0.257925659","-0.097257838","0.105446815","0.453512877","0.330167713","-0.366674564","0.486402037","-0.721077078","D"
"1.71E+18","9.345818848","-6.744646072","-3.469198227","-4.870132446","-0.260682911","0.947605968","-0.184628367","-0.167509228","0.139247179","0.616269052","0.308135653","-0.40167507","0.496329482","-0.705242342","D"
"1.71E+18","9.355838623","-6.419111252","-3.380903244","-5.186714172","-0.313280046","0.943030834","-0.112021826","-0.211820692","0.290962815","0.673621655","0.285335335","-0.436053569","0.503831691","-0.688908499","D"
"1.71E+18","9.365858643","-5.65199995","-3.389061451","-5.55258894","-0.36639756","0.929432809","-0.043677531","-0.320705742","0.372843921","0.652442276","0.261777338","-0.469487913","0.5076833","-0.673284134","D"
